Mixture	SCLC01	SCLC02	SCLC03	SCLC04	SCLC05	SCLC06	SCLC07	SCLC08	SCLC09	SCLC10	SCLC11	SCLC12	SCLC13	SCLC14	SCLC15	SCLC16	SCLC17	SCLC18	SCLC19	SCLC20	SCLC21	SCLC22	SCLC23	SCLC24	SCLC25	SCLC26	SCLC27	SCLC28	SCLC29	SCLC30	SCLC31	SCLC32	SCLC33	SCLC34	SCLC35	SCLC36
Endothelial_cells	1.64659369547753e-18	0.00697555584692766	0.036641530409232	0.000956762276607378	0	0.0136818573314933	0.0141349641405407	0	0.00740367111749631	0.0221755699329753	0	0.00251847863129129	0.000685035411078094	0.00157537579287077	0.0181133231211359	0.014654851953341	0.00695652000024758	0.000406330577562015	0.00272510897807654	0.0125726628023454	0	0	0.0124585174204607	0.000630001863120598	0.00105411183159752	1.91381477028513e-19	0.00190749191880064	0	0	0	0.0139282947647942	0.00416953424246883	0.000814531632903186	0.00932134588518876	0.000653109965895661	0
Eosinophils	0	6.54726029686796e-20	0.00209057470693496	3.81584836172273e-20	1.1246416529607e-19	0.00489942396624762	0	4.06449871364809e-19	0.00550141857444338	0	0.0281314316551765	0	3.37535960372153e-19	0	0	1.20158208134656e-18	0.00476059656101057	2.16964171033158e-18	0	0.00189207311050221	0.0243110763617906	0.00239396124717002	0.0154757555589407	4.38494555768832e-18	0	0	0.0198080542121929	0	0.0084783573343323	1.16196433212714e-18	0	0.00512462167153928	0.0386896558324499	5.53416726197753e-19	0.00970793319265007	0
Epithelial_cells	0.00621953292989776	0.00195433536830052	0.00496063502395492	0.00052020559305012	0.00141527858446239	0.00151441246526617	0.00354233413060621	0.000606385342777916	0	0.000640099950439139	0.014789009417715	0.00170562336031028	0.0168556041031933	1.93953998044966e-21	0.00341579164138116	0.00106643549079432	0.00943422280544755	0.00752265559754479	7.64311685909281e-22	0.00177344155698504	0.00963293916888305	0.00298015240723671	0.00200304649335119	0.0236260105668141	0.00350804802345955	0.000704828274145358	0.00557134094613955	0.000328515449620802	0	0.00828444756317962	0.0103383414649966	0.00767743470831079	0.00479377879323868	0.0126232040687059	0.000910720675735358	0.00221919037068543
Erythrocytes	2.07528140166447e-19	1.75995294461161e-05	0	0.000216629826268729	2.32850425414442e-20	0.00329223080938986	0.00674923821996867	0.000403400071865076	0.0305386519992746	0.00530494781709127	0.0199583544306923	0.000384120588352714	0.0321919118040673	0.000984660234237233	0.000317270304491547	1.34852068423378e-22	0.0236800194986429	0.00641298059261105	0.00840465795594934	0.00112421714115231	0.0188705554194852	0.000214235036744892	0	0	0.000551229017678986	0.0554066590939064	0.0297629060447482	0.00595732540701323	0.0010724257057101	0.0118956388017736	0	0.000148255681966261	0.00843551008207116	0.00387924808391964	0.0112142685918914	0.0031815618960258
Fibroblasts	6.79292568484523e-18	0.00193224749143124	3.13658294773113e-18	0.00352233604676531	0	0.0668602140164088	0	0	0.0501657926001903	3.99108529220059e-20	0	1.60442205261525e-17	0	1.02266794769638e-19	0	0.00294166060093371	5.1669598558582e-18	0	0	0	2.12413718585981e-18	0.00035388008601972	0	1.10137465139898e-17	0.00878611905448201	4.45768430957545e-18	0	1.12176410456713e-18	6.79307035244614e-18	0.0102532841802365	0	5.80135579842253e-19	0	0	4.71230030200441e-18	1.04973815109961e-17
GMP	5.8783662769735e-18	0.0655828763137794	0	0.0459083404197237	0.0253824825913403	0.016386747750996	0.0419990291284151	0.0389106781081899	0.113042858597601	9.65990886940099e-19	0.226365840196736	0.0419913554915746	0.0129227728365079	0.00902008796262293	0.0906146876655313	0.0303326498931911	0.135759935862414	0.0339154500955384	0.0227229625043056	0.0058500711480668	0.128252627571679	0.0302316338427144	0.109635100799131	0.081777409374692	0.0334064433271623	0.0575434423467419	0.0277151096517454	0.0212881316519209	0.00533479304348815	0.02455260424643	0.0181924019768598	1.80831438495646e-18	0.234971999957829	0.0254376915668519	0.109380038458665	0
Hepatocytes	2.83445332753384e-20	0.000497637792035192	0.00214931384772927	0.000391182031832915	3.29713372652485e-19	5.2743368209189e-19	1.82712601463766e-20	5.10483756578339e-19	0.000442107616539852	2.10837369184202e-19	6.55777361736236e-20	1.66804621497512e-19	1.85903831828554e-18	1.35703536707308e-19	0	0	0	0.0010123287989202	0.000337884540228327	0	9.72738035303768e-05	0.000418070105916136	6.0590232059502e-20	2.45448146647394e-18	0	0	0.00119485350039689	1.83729990475184e-22	0.00546793026907335	0	5.67532304907728e-19	0	0	0	4.3066134333834e-20	7.15451023988163e-19
HSC	0	0.0981882226615563	0.00120345387554569	0.129006003901144	0.0597479514730437	0.143610784652575	0.198342991561256	0.0505478181809981	0.114638098695329	0.133514641512519	0	0.073480947579234	0.110331757890649	0.0742431136415527	0.172227588379709	0.117144580991208	0.13360898265159	0.129056450981963	0.0857904606730153	0.112433817526617	0.0821654651410722	0.0679395171438378	0.142603564439922	0.0618830017786528	0.119045354384096	0.0322508560318895	0.0318083582130949	0.0323422782033437	0	0.0300640641480826	0.0822859152797999	0.0766016523432525	0.0582411021581752	0.139794036229396	0.113533126534086	0.0302024005414368
iDC	3.17349032447968e-17	0.0850510224714095	0.0794775814477394	0.0404982547627944	0.0109800335785217	0.176542104678812	3.70733004696453e-19	0.0178262647054277	0.0231517504071894	0.12727155386569	0.00850910230663914	0.11340745285064	0.0452247398923451	0.0418442021806171	0.0618154017745901	0.146972970182534	0.0252487097380874	0.00851773492586901	0.0632242179073969	0.00885877955351335	0.011144123637998	0.0871363836918646	0.173301996047149	4.81857709132769e-18	0.0539702408643046	0.0174703038707022	0.0425657775262018	0.0331426974843507	0.0642369899942899	0.032442332068582	0.102990196441302	0.0624573324579123	0.0380217483913942	0.0387524763622414	0	0.0446451523693874
Keratinocytes	8.11230629111043e-19	0.000651150237839759	0	0	0	0	0	0	0	0	3.73008956418582e-19	0	0.00147208504278614	0	5.31680250856072e-20	0.000509757263556934	0	1.28516847799781e-19	5.44983576758501e-19	2.75319138716967e-19	0	1.49401905328638e-19	0	0.000730896795062028	0	0	1.17062499545597e-18	2.38602395457199e-19	7.63083925542276e-19	0	0	0	5.08748908681795e-19	9.00190455613196e-20	1.42333810623748e-18	0
