Mixture	MEL01	MEL02	MEL03	MEL04	MEL05	MEL06	MEL07	MEL08	MEL09	MEL10	MEL11	MEL12	MEL13	MEL14	MEL15	MEL16	MEL17	MEL18	MEL19	MEL20	MEL21
Eosinophils	0.0211584626775351	0.0268386792080103	0.00653775501711041	0.0432262487279869	0.000874463789763852	0.00338898736180036	0.0260926188640109	0.0133660939264496	0.00613559377698994	0.0178921894160231	0.00627462016035879	0.0303618797484047	9.35828887618415e-18	1.72551261520819e-19	4.01249379995588e-18	0.0353467061740637	0.0222523095929602	0.00873092458918263	0.0128666465215143	0.0186034815048814	0.0197237408721565
Epithelial_cells	0.0251280181156676	0.0286657339172235	0.0325030921860286	0.0126656624538074	0.0129617478127799	0.0490749394025803	0.027577306634721	0.0545956861800395	0.0698250536058297	0.0505789379414055	0.00700186434594635	0.0177935182534464	6.46358932314046e-19	0.0022372597020571	0	0.0453346903020557	0.0539776186006014	0.043929546915574	0.0360398738741645	0.0309891768631107	0.0267636861684767
Erythrocytes	0.0005723872859115	0.00109339843618974	0	0	4.37660988591881e-19	8.70789570595431e-19	0.000284146466361039	0	0	0	3.23085315268526e-19	0	0	4.44147345821906e-20	0	2.00360600725118e-21	0.00294113537172976	0.00108499731099356	0.0020523272725705	0.00343064222378442	0.00147289534501209
Fibroblasts	0	2.84385518560547e-18	2.74204199673642e-17	3.51699354338799e-18	2.00396497464935e-17	0	2.09465618362229e-18	1.74782219912792e-17	5.4179949823496e-18	3.6661554703566e-18	0.0263767162260575	2.34574808360077e-17	0	2.00079236147659e-17	4.61246580544467e-18	0	0	0	7.54294347506271e-18	9.40159939640044e-19	6.07721484998789e-18
GMP	0.0169677686950566	0	0	0.100553269914716	8.70321931884028e-18	8.17523076269182e-18	0.00701510087387828	0	1.15557963417013e-17	0	0.0450169991478552	0.0279148335241079	0	0.0571545272829021	0	2.07356307987624e-18	6.05446953433293e-18	0.000323179105186407	0.000454853053976256	0.0794744969257033	0.0270295546800532
Hepatocytes	0.0024876066006312	0.00522870414426002	0.00264987571319491	0	0.00319151423017124	0.0052782461529983	0.00209641941661023	0.00755866985937898	0.00174251056726688	0.00457325887942016	0.00431365179919195	0.00120235975966601	0.000698393161045679	0	0	0.00510828001986329	0.00259494644341135	0.00444129158139983	0	0.00132644379094055	2.86024734334101e-19
HSC	0.0754159181426946	5.7496888505259e-20	0	0	0	0	0.0335673838794482	0	0.0453175444551665	0.00344840347625551	0	0.106455937931471	0.114119338190096	0	0.0351505871482823	3.47764320473115e-18	0.00063053195588708	0.0190823588018125	0.0759740998836951	0.135450926654736	0.0782463565186977
iDC	0.0158162964351453	0.0671877382830618	0.157569375609587	0.125127652058462	0.167898650607835	0.14938173927662	0.230878610938779	0.0971086076219535	0.139571161884686	0.098911281367801	0	0.117066818746603	0.0127234105170241	0.0084846214593756	1.68737702702449e-18	0.160762649982889	0.171327752870675	0.0814766656981539	0.0439354217838548	0.0915469950393767	0.140228446257963
Keratinocytes	0.000646257186366135	0.00306152453783286	0.00131154830357502	1.7415631681973e-19	0	0.00623637413070045	0.00582903528661855	0.00836054293363277	0.00819272775842891	0.00545231480846897	1.18689703143846e-18	0.000958176972323443	2.60631437376344e-18	2.18038933894803e-19	7.74937978768083e-20	0.0103502002545373	0.00826579233953647	0.00597674833953917	4.65809775005573e-19	0.00444804529560525	0.00136655281105668
ly_Endothelial_cells	0.000794208074496655	0.00285063879649504	0.0145066316675036	0.00901724479228095	0.00343155604271144	7.18190704345806e-21	0.00882189502012849	0.00697454332221044	0.00731642494372499	0.00805874050878175	0	0.00260738409982369	0.00448747441793656	3.79268174194564e-19	3.3643153558785e-19	0.0122019275876749	0.0106143601136877	0.00290912064823432	0.00475517911536183	0.0063499991108009	0.0019009009415038
Macrophages	1.18461940919275e-18	0	0	4.35633557411376e-18	8.00194384892991e-19	1.72951959758942e-18	0	0	5.80759250252852e-18	6.99486922770563e-19	0	1.02652806043342e-18	0	4.44921128476182e-19	1.4925476688182e-19	0	3.93120266265376e-18	1.81496660845342e-18	0	0.000356671203813759	0
Macrophages_M1	0.0038353351651973	0	0.00717005115682034	1.8956082237988e-19	1.42963906841538e-19	0.001647956486418	0.00161548792433966	0.00201302655345742	1.79682574087036e-19	8.6329264441484e-21	2.71280257148337e-18	0	1.3023495202935e-18	0	8.34847137286641e-19	1.23615643747413e-18	0.0034750046654971	0.0056766579437202	0	0	2.93166850890846e-20
Macrophages_M2	0.00897694620663204	0.00130597040274501	0.0031063537212588	0.0285557657455001	0	0.0080417623559544	0	0.00714860345167571	0.00040251740788301	0.00539855911799489	0	0.023666912619292	0.0015962927305827	0.000554402901641004	0.00466501486451444	0.00422183040991332	0	3.06730396244226e-19	0	0.00882834996995807	0
Mast_cells	0.0128425519292143	0.0122224340564737	8.93222047737316e-24	0.0149277080166787	0.0100541835125217	0.00777275502027425	0.00783841435782017	0.00166290415718561	0.00415932185229319	0.00084960313056264	0.0257609255190532	0.00777009424834142	0.0203426028532996	0.0259067287866957	0.0301986054836717	0.00455040579756082	0	0.00432887563197278	0.0142174900388948	0.00838042580236548	0.0040376177525525
