Mixture	Utest1_RPKM	Utest10_RPKM	Utest2_RPKM	Utest3_RPKM	Utest4_RPKM	Utest5_RPKM	Utest6_RPKM	Utest7_RPKM	Utest8_RPKM	Utest9_RPKM	ctrl1_RPKM	ctrl10_RPKM	ctrl2_RPKM	ctrl3_RPKM	ctrl4_RPKM	ctrl5_RPKM	ctrl6_RPKM	ctrl7_RPKM	ctrl8_RPKM	ctrl9_RPKM
Eosinophils	0.00448004694158783	0.0107032210763412	0.00157420255644768	0.00200902480384348	0.0334278356042281	0.013843514535807	0.0346978424053671	9.13538055817682e-19	0	7.07119364521048e-19	3.84059702017888e-19	0.00545705599176887	0	0.0116593640360484	0.010513211749291	0	0.00289889082224346	0.00142162829051684	0.0248827662796564	0.0136616235899738
Epithelial_cells	0	5.48006112720283e-21	8.06305820348411e-19	6.80212195199187e-19	2.28779313816609e-19	5.01338170172812e-19	1.90325112636674e-20	1.30773316215448e-18	0	0	0	0	9.530246101727e-19	0	4.45470766812466e-20	0	0.00513507953210144	1.6767855828221e-20	3.12406108712285e-18	0
Erythrocytes	1.09595246120384e-19	4.58240654515205e-19	0	0.00517774202734758	8.38490814629172e-05	0.00438040411549424	0	0	0	1.82232136051258e-18	0	0.000148024257247125	1.91915373578259e-18	1.47318082486343e-20	0.0026104201332368	0	1.19840510278326e-05	1.01751695478851e-18	1.67157911821137e-19	3.76533106521649e-19
Fibroblasts	2.22097035784756e-17	0.0239746180114678	2.20769870336672e-17	6.448526268331e-19	4.62875990958302e-18	0	2.86561175951762e-18	1.9512444070759e-17	1.39904863870514e-17	7.36868039905725e-18	0	3.53773812133639e-18	2.77499190611033e-17	3.7390401040447e-18	5.4822994547949e-18	2.34082799048152e-17	9.10391103571572e-18	4.45116352325184e-18	0.00590837232917429	7.72986025774749e-18
GMP	0	2.52130386869488e-18	0	0.00594949992530347	0	8.89648536552284e-19	2.33950373211838e-18	8.80608666733865e-18	0	1.61823402472986e-17	8.52359790512255e-18	0	9.22155501449755e-19	0	0.000149043272051422	0	0.00752857716280997	1.6534609536433e-17	6.70311196412322e-18	0
Hepatocytes	5.84038619288092e-19	0.00187131314804768	0	0.000675238841677806	0.00234735034790679	0.00229787209903014	0.00196337882174309	0	5.3298313727815e-18	1.49857206532137e-18	6.9976015338138e-18	0	5.94478286809518e-18	5.31303480689514e-19	0.00163524443277612	0	1.36376041656792e-18	6.50433401795482e-19	0.00492119721450468	3.58019945735897e-18
HSC	0.0328730845086244	0.024410329885146	0	0.0742513829829459	0.110944730100285	0.0705994621556196	0.0422731325345156	0.115550576244287	1.97921095375222e-18	1.67383357738026e-18	5.66016180931432e-18	0.0782175708175464	0.00657984683832198	0.0832721930280734	0.0744950648681114	0.0572290954845986	0	0.0381778945839454	0.0514793195848994	0.0362424269134555
iDC	0.00925425906103247	0.167632983656239	0.00128033173876216	0.0961208229590269	0.0389192273137969	0.213817186274169	0.0733693876251527	0.019806030262037	2.90636943215634e-21	0.178526574627648	0.00566108148739452	0.214455056415039	1.87871703117571e-20	0.0248829114291251	0.055456821818337	0.0410202024084139	0	0.0570703466878255	0.0712399130976357	0
Keratinocytes	2.68872698823008e-19	2.59433317138606e-19	0	1.07290003779785e-18	0	1.41037793302233e-19	0	2.57211598402724e-20	0.000159372942942879	6.74699282217112e-20	0	1.36085609132198e-18	9.75926934261419e-20	0	0	2.1431170929468e-18	0.00152990970823329	1.79900469659629e-18	0	1.15781726205386e-18
ly_Endothelial_cells	0.000532939487210389	0.00939606731941629	0.00135176102918482	0.00277721195335245	0.0133390508733618	0.0126023537925152	0.0224551518224192	8.93716840826641e-20	0	0	1.49059974737304e-18	0.0177635641333445	1.17516136814159e-19	0.0082036143570327	0.00177446418381174	0.00664550140122563	0.00626452067623295	0.00341451176715106	0.024694968492886	0.0108625559706937
Macrophages	2.75454769146002e-19	0.0228704718096086	1.7823862986742e-19	0	0	2.91829817473973e-21	1.14119865542363e-19	0.00273988842230506	9.29065222221548e-18	0.0623573979056684	0	0	0	0	0.00368706433832415	0	0.00292496216663336	0	0.00137405876487237	0.0126179068132117
Macrophages_M1	5.5832554816281e-19	0.0233914324411477	0	4.5398500461141e-20	0	5.65505119807559e-19	0.00106271257771686	0	4.0206620368952e-19	0.0560992834005067	1.26609038118919e-18	2.99901635025436e-19	4.91793180312606e-19	8.33986395317046e-19	0.00547613705233918	0	0	3.73919887470675e-20	0.0100325172051007	0.0126049611160554
Macrophages_M2	0.0091330942053276	0.00897671081925208	0.00529503791298027	0.00226387270690186	0.0142398150990911	0.00993669643483377	0.0194247765189641	0.0138448625846833	0	0.0183622770487432	0	0.000725925243568286	0	2.47511891232619e-19	0.0130882934188984	9.90817281363638e-05	0.0119722596029044	0.00888000939427178	0.0103472968874103	0.00546152807456016
Mast_cells	0.00150389964441874	0.00116265451868525	0.00197741889837861	0.00882832271574531	0	0	1.06885275980165e-05	0.000291603323591206	1.53158932705707e-18	0.00397923350592897	0.000891902156080391	0.000423639553757545	0	0.00137369030894209	0	0.000281873985052332	0.00456882390356887	0.000897047458263644	0.000374477579658406	0.000819905264498787
Megakaryocytes	0	0	0.000425221990704098	0	0	0	4.31236085929221e-20	0	0	0	0.000126031653835877	0.00220523979812834	0	0.00209391514828111	2.66696693369855e-19	0	0	0	0.000767459477314053	4.17166314803567e-20
Melanocytes	5.2055259588536e-18	0.00405628488094912	0	0.00390757132892411	0.0125776758493887	0.00586818624919134	0.00532697811560439	0	0	0	2.70373946019565e-19	0.00180402047152914	0	7.37138261686967e-19	0.00120266806594075	0	0	0.00324296956841236	0.00815452961114387	0.00528031895500328
