Mixture	OV01	OV02	OV03	OV04	OV05	OV06	OV07	OV08	OV09	OV10	OV11	OV12	OV13	OV14	OV15	OV16	OV17	OV18	OV19	OV20	OV21	OV22	OV23	OV24	OV25	OV26	OV27	OV28	OV29	OV30
Macrophages_M1	0.00287666497813533	0	0	8.10177865821783e-19	2.78435997248102e-18	3.85015945939906e-19	0.0131643352047387	0	4.86937487510901e-18	0.00284476189626667	0.00508647841814488	0	5.70835550605052e-20	2.89267328256411e-19	0	0.00148498103720028	7.818850999257e-19	0.000427938823028197	2.71645171610752e-19	9.58648292831238e-22	0.00200831870412621	0	0.00338245700079811	0	0	0.00117456620214793	0.00353960666166714	1.25417398410857e-18	0	1.80406379876363e-18
Macrophages_M2	0.00175796650092296	0	0.0129483909049568	5.72864664482058e-05	2.34675485961683e-19	0.000251092786883407	0	0.0109652442031199	0.0015855242843019	0.00404348821292846	6.77699168709437e-20	6.60997208329384e-21	0.00104371233264466	0.00340121477474939	0	0.00205565445638879	3.77670295325321e-19	0	0	0.00304887061191727	0.00932280515266522	7.51264644997105e-05	0	1.11299715135226e-18	0.00685016802973609	0.012080272200508	0	0.00943239670193687	0	0.00868908998432777
Mast_cells	8.36159167098321e-05	0.000378477680023144	0.00821504715419643	0.00752043507784482	0.00334342836303414	0.0151316913339147	1.24647963907137e-20	0.0119149052186254	0.00301929901406133	0.00440614626837815	0.00771856845098475	0.00939716885648795	0.0041474456890506	0.00261527152658532	0	0.000294421880988797	0.00700775920736067	0.0102909206517076	0.00809040806154822	0.00452383960887941	0.000470526438252252	0.00730165322121812	0.0166359321178736	0.0120276374945245	0.003337065258788	0.00198571398282968	0.0104869065756334	0.00206671298228027	0.00753518486145825	0
Megakaryocytes	0	0	0.0375321803217221	0.0103348349260015	0.00584550831829456	0.0277768493301979	0.000966927502363463	0.000799557712034834	0.0100830981646261	0.00698697520704221	0.00987796916448169	0	0.0129403299556854	0.0145604851841676	0.0364372424626059	0.00107101886652636	0.00045440221824421	0.0367730303990121	0.0471114458506718	0.000335341053622502	0.0194867845142841	0.0034944670618633	0.022417548089653	0.0612572976524377	7.72854941805904e-19	0.00463637989317068	0.0500697102311177	0.0163746470749459	0.0442242384187717	0.00294933113916525
Melanocytes	0.00313146026290027	0.000800718534397289	1.9854893041841e-18	0.000593865400421699	0.000402797016807398	0.000936057298800779	0.00452550478999219	0.00246704724164973	0.00321548785171687	0.00157669770774595	0.00145368143660945	0.000817121394487693	5.81954482343008e-19	0.00113057671418023	1.26663584870309e-17	0.000766277403605456	0.00110692984226331	0.00194883361104273	0.00129002038414484	0.000807385782435511	0	0.00101682660157013	0.00217693046379236	0.000492587145430553	0.00245700306743932	0.000473373366325352	0	9.03848589039167e-05	1.94556136118711e-18	0.00117636201835641
Memory_B_cells	0.0218995514786938	0.04270964978178	2.22814318321219e-20	0.0726524437320426	0.0411864091560989	0.0144090311464197	0.0197115954175348	0.0386868672051842	0.00696044665140709	0.035566052590545	0.072740200124858	0.00877658693798931	0.0780844756374605	0.0398765135307415	0	0.0374511167024342	0.0503001306383632	0.00526733145501708	0.0210801799980865	0.0472902209540511	9.36384377182599e-19	0.053298016354631	0.0423882693649747	0	0.0195839045163902	0.0426934719223665	0	0.0838377185508157	0.0352058557515445	0.00285413175807523
MEP	0.0276765749721696	0.0183686910398127	0.0192732497754309	0.0159109375127591	0.0628798650052443	0.0248615016741562	1.76607661091297e-18	0.0333795560538201	0.0576169070117529	0.0248278624622139	0.0414874891299434	0.0452029182773555	0.0446494108031815	0.0233651069960805	0.0166976849548935	0.041370030409232	0.0208477389210326	0.0451648929343474	0.0701984341853966	0.0371693727742564	0.0396858137775407	0.0306766770689029	0.0401436195702004	0.00739842375865229	0.00403258838880983	7.13839093839004e-18	0.0272650119807308	0.0424933027480295	0.0173747140998002	0.00953806838189169
Mesangial_cells	0.0125216493106344	0	0	0.00420767968432832	0.0240711849363941	0	0.0297191129997865	3.19766466834245e-18	5.15671786159551e-21	0.00829261418172159	0	0.00704091672894325	0.0137081551306763	0	0.00140564045947754	0.010812130001994	0.011489704729874	0	0.00157963651524478	0.00327622473746516	0.0117497346363521	2.60700778631607e-18	1.18371045058898e-18	0.00969095113179695	0	0	0.00827569554060807	0.0032504473612083	0.00260890015628826	0.00210440270688533
Monocytes	0.0577880295317436	0	1.01981301143861e-18	0.0274409065400531	0.0147838484040042	0.0231288029094222	0.0225844593101758	9.27847553342433e-20	0.0570134565080102	0.0109713875881043	0.0186599802451102	0	0.0117140601651282	0	0	0	0.0143790970802132	0.0168750112175941	2.94051831892155e-18	0.00192908539310057	0.0175870174090971	0	0.00853451844850093	0.0182238115421124	0.0121996792790508	0.00792273998982936	0.0147200409973898	0.0171701410031591	0	0
MPP	3.29462221709191e-19	0	5.9609006826408e-18	0	7.60841212143113e-20	0.0105728222319202	0	0	0	0	3.09887636752803e-17	4.83954747438828e-18	0	0	0	0	0	0	0.0213042877294857	3.06984768785582e-18	0	1.03483910581241e-17	0	0	0	0.0160039494374828	1.80608682398095e-18	2.66408244363022e-19	4.30105048552623e-18	0
MSC	0.0146083320650164	0.0329219884205633	3.38596254494417e-18	0.0204418631464479	0.000332694486346427	0.0567120527359096	0.125621550373462	0.114685444934446	0.150039825070887	0.0681023655084123	0.0770360611998735	0.012125823312044	0	0.056175433886494	6.83971821134669e-18	0.01415462263438	2.87590412578318e-18	0.192610707542303	0.0705334090588479	0.00392615430008998	1.52104429520837e-17	0.0280294666522241	0.0426485800063572	0.115152863859541	0.0343318286572906	0.0874602914866866	0.02894241518085	0	0	0.0521827265950942
mv_Endothelial_cells	0	0.00485479743276521	6.05827442462902e-20	0.0149140062213026	0	0.0021244173276234	0.0353256456298578	0.000119514421876531	0	0.00902664931433304	0.00925215773103012	0.000923112687306814	0.00226241692502554	0.0147911399548602	0.0100938862554704	0.0152051984573431	0.0246638653541622	0.0275402685865552	0.0138775142030624	0.00257590696174977	0.00153274548752504	0.003117630195074	0.000648525809292548	0.0468821130412179	0.00504929040588733	0.00667208119064163	0.0583965035250896	0	0.00148892996390499	0.0201621054069561
Myocytes	0	0.0142784379889965	0.00254100345059866	0	0	0.00260802688115795	0.00855662255738908	0.00879984174687233	0.00707023389840171	0.00164054956953486	0	0.0156094371759384	0.00405192408591118	0.00671932898586582	0.00132664320627236	0.00489244876672556	0.0119332408234758	2.66217812803071e-19	0.00141620362465199	0.000432481558981535	0.0021266789853189	2.76098253851394e-06	0.00140447278044552	1.38010738458922e-18	0.00502086979792921	0	5.86005546198215e-19	0.0177337351746093	0.0037411263267184	0.0171115652757067
naive_B_cells	9.60778192853073e-21	0.042833169729472	6.28080589776622e-18	0.0322603429309613	0.0369597704484596	0.0128608163117737	0.013990204761407	0.0292426047203031	0.0131768517539695	0.0397521322459704	0.043858482904284	0.00490253420404792	0.0402774626029216	0.0410910334919428	0.0142054275710565	0.0461888053109244	0.0582038284176485	0.0154635136594799	0.0163070494128321	0.015667978067782	0.00138738884284593	0.0507478303768101	0.0218831521059365	7.50129624469279e-19	0.0298177229823172	0.00765208505044358	8.2294394218045e-19	0.00201814525449581	5.04691364860088e-19	0.0396694457639972
Neurons	2.23111421096112e-05	0.000103337286250411	0	9.03258452711067e-21	5.62420093798796e-06	0	0	0.000445146314447057	0	0	0.000235899589830332	0.000802361047587672	0.000240674014182811	5.34500955143732e-20	2.55678643961861e-19	8.18304634326205e-21	0.000567378378604242	0	5.01711597056832e-19	0.000180243560603057	0.00024809015182808	0	0	0	0.000901828919047271	0	1.66582989277643e-18	0.000302523369948724	0	0.000353018666213622
Neutrophils	0.0149306057218902	0.00132283038578285	4.09339859585775e-20	0.00228046641973355	0.0187333671111938	0.0021074481355214	0.0685694983781473	0.00231158405157498	0.0430446639868141	0.00301087032263831	0.00588139619729315	2.32185291102702e-19	0.0242705836856271	0.00217675464674029	7.02414475346942e-19	0.00235049000122929	0.0147079805494434	0.0077354085170988	0.00140899736498224	2.14621974199634e-19	0.00696869328146847	0.00431204427858328	0.00272299340864444	0.0140301557673733	0.00132584563983254	0	0.00196278746186272	0.00532444495806623	0.00895275554237804	1.96351746959145e-19
NK_cells	0	0	0	0	0	8.7476250018753e-18	3.05539276830155e-17	0	0	0	4.94245698458954e-20	4.84048133384077e-20	2.79713418576829e-19	0	1.81869391263167e-17	5.23567592415564e-18	0	0	0	0	1.21794428579511e-17	3.09684484739636e-19	1.92286606098978e-17	2.61083923321783e-17	0	0	3.99823562053812e-17	0	1.80231775967147e-17	0
NKT	0.228855409143647	1.9615053363767e-19	0	0.019727477591823	0.00617536437077087	0.0793280626131025	0.100185828782946	0	0.0391421780827592	3.06542884448918e-18	0.061879699082475	2.19048559479967e-18	0	1.0386709314495e-19	0.0396065502711018	0.0117119113360535	0.00872033735847289	0.0476736849468462	0.0771109020931551	0.0320207357932839	0.01052155014762	0	0.0927080420790795	0.116065816245777	0.0648947127415641	0.121377985818134	0.0247767297111481	1.27986419956757e-21	1.02992868837313e-17	0
Osteoblast	0.0420737987459056	0	0.00503011121559753	0.0476501735158221	0.0131203895447767	3.90672647277898e-18	0.0134589523678069	0	0	0.0090161127727429	0.00626396415426834	0.0255995951058742	2.53720913970905e-19	0.0116431943913363	0.0739912629646495	0.00353260764830401	0.00792600620665591	4.52240577452145e-19	0.0253066707199328	0.00983203585739329	0.00445978048917915	1.03681773826683e-17	0.0119854284232295	6.35654653701646e-18	0.00187393849535883	0.0040666900202823	0	0.0429060534513947	0	0.0699974422332496
pDC	0.00321989969425982	0.00984109286544372	7.48094681699877e-19	0.00488530366498303	2.93957728586552e-19	0.0202748267746095	3.32145187887865e-19	8.75835915122059e-19	0.00702729708131896	0.00364642131382521	0.00726743231490789	0	3.8041910441319e-19	1.51788690940661e-20	0	0	0	5.66765883861639e-18	1.5709564553391e-05	0.0268807452536988	5.09001183465243e-19	6.89734883588117e-22	0.0142530178432348	5.82251219732147e-22	1.26563782024326e-18	0.0231959365813247	4.29828920377213e-19	2.85953244213131e-20	0.000761753341230962	3.29373452144459e-18
Pericytes	0.0514930368058425	0.00567326035328797	0	0.0232551546093881	0.0324819103302934	0.101330015311882	0.0620243441563254	1.95092446703972e-18	8.74520396626379e-18	0.0358662623778613	2.49972504441347e-19	0.0152266219097201	0.0172632701613681	0.0764565965302608	0.00674493413862526	0.0570591471953113	0	0.0159047879253365	0.123079309469825	0.0501740360777064	0	0.00255953755778135	0.0394174619124873	0.0582060491259124	0.116796450020008	0	0.0440858892519589	7.51861932086819e-18	0.0155286804954812	0.0985580067662334
Plasma_cells	0.0195877849150215	0.0272276359156527	0	0.0279364230717289	2.74577768512202e-18	0.0106121794722027	0	0.0038630847539257	4.63066423697571e-21	0.025455968462897	0.0189101545902081	0.0226102317100699	0.00815680947521508	0.0075790603926373	0.0120129481813622	0.011284051105379	0.000323197349425088	0.0246740205326694	0.00993986059605291	0.0195454231802555	0.0123519196871721	0.0138323627514427	0.0117884267101635	0.000568222627191693	0.0200615109141901	0.00187259739661041	0.000195385070713213	0.0494372932688099	0.00461824695986448	0.000330132975541912
Platelets	4.47704666162407e-18	0	0.165291549989269	0.0188793197195206	7.1156241488057e-19	0.13391042645172	0	0.0058043627867634	0.0243571159376531	0.00635789762321669	1.91502057319974e-20	4.97043822431583e-18	0.0181075918084623	0.0128903291578268	0.14790482288264	0	7.37041178598833e-18	0.0715683533672037	0.12852502233172	0	0.0230791033342419	0.00343349539646799	0.0361599221323894	0.133778354218445	0	0.0433903682961775	0.221227885621168	0	0.225409572405612	2.13728367720638e-18
Preadipocytes	0.03366938542767	0.0154629055508817	0.00867010731171059	0.0192667721874651	0	0.026041873510831	0	5.67911818079333e-18	1.38778400048096e-18	0.0123026542285795	0.0116996857600032	4.07622340329748e-18	0.0200432761837521	0.0117993740962216	0	3.34737655470195e-18	0.0390681730208152	0.00380736188378615	0.0197989163208818	0.0260711218431342	0.0234022450489371	0	0.0150776583570582	0.00990012884849091	0.0218899285495375	0	0	0.00410547184012135	0.0377177393463122	2.16419870100301e-17
