Mixture	HD1_AD	HD2_AD	HD3_AD	HD4_AD	HD5_AD	HD6_AD	GBM_A1	GBM_A2	GBM_A4	GBM_A5	GBM_A6	GBM_A7	GBM_A8
Pericytes	0	0	0.00905794047316606	0	0.051928043443381	0.00133165751821152	8.88936642356685e-19	4.43215427847545e-18	0.0078533610022766	0.0127660836058126	0.0109224709196189	0.000794353683635363	0.0306153335546558
Plasma_cells	0.0573693783053847	0	0	0.0699903152275249	0.0119203754843857	0.0228751424722832	0.00902254268577145	0.00792307465414632	0.00838553957368085	0.0209001904888835	0.0110691957613867	0.0027395351418843	2.48287672208459e-20
Platelets	0	0.00610414200123318	0.00216213109177228	0	3.56547393109409e-19	0.187706333210777	0.142313299033789	0.00194549788938067	0.0287135389301963	0.0970172692144686	3.71522354032871e-18	0	0.0497168160217983
Preadipocytes	0.00564644831558509	0.0182648170394725	0.0458521019792872	0.00989213841327131	0.00145332862787278	2.70594374613226e-17	0	4.44438265779792e-18	0.000969493301870634	0.0124754308233284	0.0278347550023461	7.76625156991058e-19	0.0863611909002618
pro_B_cells	0.0282049894057595	0.0055357771603473	0.0299406595020583	0.0328032795812025	0.0216231246922379	4.80941113748015e-18	0.019382538429604	0.0492905836593459	0.0509755782890266	0.0268905458357563	0.0151850322891127	0.0333560909365585	0.0105671773308159
Sebocytes	1.23386724471341e-20	0	0.000191357987096675	0	0	3.34774835255447e-19	0	0	0	0	1.3623840475957e-21	0	1.46138401530621e-20
Skeletal_muscle	0	0.0119216071299773	0.0084588764592662	4.15834580277205e-20	0.00921339747764542	0	0	5.79765869727593e-20	0.0064612079718694	0.0060599724029563	0.0107135616738788	0.016546193538033	0.00916854813461527
Smooth_muscle	0.166111184960295	0.0712892460254303	0	0.134475782497571	0.0290479745071631	0.115676214914999	0.12859133939762	0.125071204917652	0.0132836579076574	0	0.0342138461567621	0.0415749534827439	0.0370495533609718
Tgd_cells	1.88660608619184e-17	2.92310750574534e-18	0	0	6.71609718770647e-18	1.8172317498632e-18	0	4.70151735693358e-19	5.77853167792317e-19	1.2776345838467e-17	3.00665890627313e-18	1.73411178280542e-19	1.07895399443716e-18
Th1_cells	0.0698370219103252	0	0.0164090241580043	0.022100024595766	0.00761381911239347	0.073588931111195	0.0435535584219172	0.00718401962457548	0	0	3.12883343087955e-20	2.37692743660624e-20	0
Th2_cells	0.00389589093374769	0.00489383522573975	0.00858823782971305	9.0924887695546e-18	0.0506969278284997	0	1.81749922195733e-18	9.60260468624666e-20	0.00729062519070708	0.00406390728228808	0.00620453911630238	0.0137842948855609	0.0151959838197915
Tregs	0	2.80035174738874e-20	0.000868270001748149	0	0.04704876413746	1.60479989261643e-17	0	3.11739277153127e-18	0	0	0	0.00166728501465927	0
