Mixture	KIRC01	KIRC02	KIRC03	KIRC04	KIRC05	KIRC06	KIRC07	KIRC08	KIRC09	KIRC10	KIRC11	KIRC12	KIRC13	KIRC14	KIRC15
CD8_naive_T_cells	0	0.0324727202570992	5.78710336948706e-19	0.00193330605558925	0.00265449897244858	0	0.0193679543415137	0	0.0113730875641298	1.98461186230093e-19	0.0282040061423132	1.34254812882021e-18	0.00388949307746133	0.00246508681064706	0.0122651521547117
CD8_T_cells	8.26176555938767e-18	0	3.14021043556966e-18	3.25487355000991e-19	0	8.08190164240495e-18	3.43604755327534e-18	0	0.0135478276794642	3.48222922217421e-18	0	4.3019925917273e-19	8.4339149420586e-19	1.11919801028734e-17	0
CD8_Tcm	0	0	0	0	0	2.14606497182059e-17	0	9.96632221577621e-18	0	0	0	0	0	3.91770737890344e-18	0
CD8_Tem	0.0043750464026048	0.0198985604041482	0.0207510131660029	0.0195859618787601	0	0	3.65947813851758e-18	2.96868052655596e-18	7.22206715978561e-19	0.00565666469372281	0.0143296509400412	0	6.32410865216575e-20	1.46661121491701e-17	0
cDC	0	0	0.0813311851026026	2.16915342371722e-18	4.39206254111494e-19	0.0174851777366235	0.0160936971361477	0	0	0.154236267255321	0.0282450555875706	1.81520569194476e-19	0.0265305422688583	0.00677866859789763	0.069573857312349
Chondrocytes	0	0	0.00288028268345942	0	1.33861854805946e-17	0	0	0	5.39119985534762e-18	2.32070121458968e-18	0	0	9.26591381157159e-18	2.00191460694206e-17	9.36731553030955e-19
Class_switched_memory_B_cells	0	0	1.75570831516886e-18	0.0092564039796756	0.0306830312398494	0	0.0967745230168128	0	0.0245690825945429	0	0.0400926937361013	0	0.02156383604749	0.00153552874046272	0
CLP	2.6812494836266e-18	2.66191484235911e-21	0.00295243118985703	1.55758704652075e-18	3.09200979884043e-18	0.00562150166093787	0	0	0	0	4.6649312085678e-20	4.16023689206491e-20	0.00134839181044121	0	2.26434900262192e-19
CMP	7.37207131401184e-18	0.017985051947097	6.61562514975978e-20	0	1.06313052949064e-20	0.01385156028055	1.71533207899609e-22	4.65214369499774e-19	0	1.38478285147118e-18	0.0345512245980518	1.60670356108142e-18	0	0.00888960040140502	0.0149836895236644
DC	0	1.28084373127236e-20	0.00106247905817081	0	0.00152279217381826	1.7164224883907e-05	3.41447895221751e-19	0.00470134694673148	1.12137824003315e-20	0	0	6.40711323314206e-21	0.00301186827971437	0	5.60675664490446e-21
Endothelial_cells	0.00134195929594114	0.00733752308728064	5.00887777572465e-20	0.0531021403411375	0.00398221807252414	0.0051452022604615	0.0438295103019329	0.00454789720171018	0.00117421567238864	0.0393508804977972	0	0.0014779305781454	6.17215652633728e-19	0.0100924323689646	3.26086854744913e-19
Eosinophils	0.00751232314165425	0.00986268467302833	0.0104531871602558	1.83207452226433e-18	0.0472359191538166	0.018285972828733	0	0.0540712000645411	0.0251683168938584	0.0329053671726171	0.00786367345763172	0.020931209372485	0.0127102772683983	3.07182521214389e-19	0.0469316903352563
Epithelial_cells	0.00050032874490997	5.69362024071111e-21	0	7.16164232214738e-22	0.00609215925058859	3.91906990230232e-20	0.00115207022664216	0	0.00312715027286627	0	0	9.95250750687115e-05	0	0	4.38231023206286e-19
Erythrocytes	3.08895175195184e-19	0	0.00181211517496274	0	0.0171032527184597	0.00116362846411939	0	0.00309693605513353	3.48488740983141e-19	0.00820478252963857	0.0102702046164651	0.00123719273209226	0.000417621458793013	0.00325876997429609	0.0113473271868293
Fibroblasts	0	8.5620303604313e-19	0.0313573551437707	9.94828760387313e-19	1.48175112218856e-17	3.61873225393699e-18	0	0	0	0.0961980525510631	0.00396759159770582	7.34305528103081e-18	3.59671948560614e-18	0	0
GMP	0.116436785713001	0.0268032784785474	0.0100787917612267	1.25209195176597e-17	0.0656634503558873	0.0234214229102576	0	0.0832918373132577	1.34178193320226e-17	0.00923220971517777	0.023418301063172	0.0662870044602029	0.0187583997614114	0.027938157046505	4.30079830972792e-18
Hepatocytes	1.97379476831528e-18	0	0	0.00237200007004809	2.06695620600376e-18	1.56270609107893e-20	0	0	0	1.40673909296703e-19	0.00103026100174937	0	4.66986886750135e-19	0	0.000919612754016503
HSC	0.0389855990218838	0.0231777120555025	0.0104059115286264	0.0283587945956281	0.00225322525537013	0.0461372115365703	0.0536485266955785	0.0767265813496366	0.0349751982191892	3.42810547057099e-18	0.0713712131971607	0.0233182488727874	0.00864225282967911	0.043223408741858	0.109262909642748
iDC	0.0794850790386888	0.0138159795136763	0.01135715545046	0	0.120051833534384	0.0181414473565779	0.062991636779064	0.181493589258755	0.0222247383651896	0.0689288221584586	0.0199249212125458	0.0584960042606881	0.143360326456377	0.0620015316803624	0.0396242920570582
