Mixture	ML01	ML02	ML03	ML04	ML05	ML06	ML07	ML08	ML09	ML10	ML11	ML12	ML13	ML14	ML15	ML16	ML17	ML18	ML19	ML20	ML21	ML22	ML23	ML24	ML25	ML26	ML27	ML28
Mast_cells	0.00996837889879759	0.00277319026096783	0.0138771756681256	0.00306031699581964	2.81438786131268e-19	0	0.00345700569675645	0	0.00500520492799546	0.00926633421662751	0.00281694452127448	0.00312921543107161	0.00443890912968767	0.0127108883721632	0.00146953891237747	0.00717027092508833	9.55185845964299e-20	0.00375381792823469	0.00532138983577477	0.00878128951098643	0.00849198921864651	0.0024762794363455	0.0196823115327888	0.00882123860727247	0.00231998855454271	0	0.00291615204297949	0.00695331202013901
Megakaryocytes	3.203411656998e-19	0.00139238544318711	0.015279479451055	0.010372295809871	0.00415541420462219	0.00985295757765617	0.000355037387797172	0.0117865034659816	0.00620243526859147	0.0108725990797943	0.011856749102778	0.0152564264202941	0	0.00714417880258572	0	0.0322575328121859	0.00165600731283195	0.0466185230867016	0.000125742722372494	0.0187564104937094	0.00692663099521619	0.00615763788163557	0.00939827041771738	1.95877086460354e-20	0.00367266935196994	0.0272036244274452	0	0.0400601524546182
Melanocytes	0	0.0026661406156227	0.00212459175070307	0.000145728929125992	4.01595561580462e-19	0.00152750913732111	0.000100544809374388	0.00525185542168573	0.000865367469705018	3.3670907702046e-18	0.00200046896079079	0	0.0019033444956263	0.0025929139607648	0.000613954262898776	0	0.00389109127499162	1.77630518978038e-21	0.00319031075218281	0.00280712565998487	0.00224031696737904	0	0	0.000879748958686543	0.00114276936304746	1.01727090471058e-17	0.00010144830286414	5.49420763369025e-19
Memory_B_cells	0.0364319819543932	0.0289727142567677	0	0.046509271519598	0	1.13962803821612e-18	0.0914970593356855	0.0182330683612185	0.0291034018141528	0	0.0691835787346261	0.135448640126745	0.0393584731091895	0.0285123348884355	0.102769375177548	1.85547077769684e-19	0.015882661214158	0.0647543537460769	0.0547451868865594	0.0282956914823255	3.87058782936295e-18	0.0435021216922902	0	0	0.0491698488192593	5.51150490058546e-18	0.0237144129443058	0.015972601053734
MEP	2.438964202647e-19	0	0	0.00683369904385437	0.0368752425413955	0	0.0272484557721422	0	4.31440003848809e-18	9.43854086617884e-18	0.00528578062856787	0.0221497259252317	0.0208343702799608	0.0172376630789448	0.0137948673340217	5.47559995549296e-19	6.53306194518059e-20	0.00589131104813967	0.00152211541047078	0.00692267476593664	0.0161309508160702	0.0240842099437883	3.70995566656934e-18	0.00735139770185136	0.00818143105788327	6.46682228648392e-19	0.0200200025909426	0.0163430762465921
Mesangial_cells	0.00120932884513241	0.011722759681595	0.00519470451708605	2.53861309117843e-18	0.00847439670791028	0.00277442762070682	0	0.00197007929717819	0	0.00598878658142199	0	0	0	5.70604095673123e-18	4.25404932992778e-18	3.29623986221879e-19	0.0158156833662539	0.000807236453220396	0	0	1.37112642968725e-18	0.0110957665881067	2.03783660287716e-19	0	1.19799137664199e-18	0.00238073199202424	0	0.00270657412475616
Monocytes	1.81374317388166e-19	1.60164423122683e-18	0.00401261497046911	0.0151699071769486	0.0106506032698199	0.00423385338639262	2.93392011218583e-18	2.94063749872887e-18	0.0146615237272815	0.00318471300526796	0.00283064578610705	9.27113020779913e-19	0.0218270626565739	0.000186009921064043	0	0.0210381134577874	2.751446226118e-18	0.0111492078100219	0.0255826449744303	0	3.20435083293947e-18	1.11653018725508e-18	0.0304942082888962	0.0745289058234497	0	5.95679843176105e-20	0.0335361976638017	0.0218174015586604
MPP	0	1.17641776493171e-17	0	7.08568656556433e-20	7.50813911163082e-19	2.82294699843722e-19	9.58226090927835e-18	0	5.24364990238375e-18	0	3.15283557108901e-17	7.94837591687892e-18	7.38786641989103e-20	5.27288653556396e-19	1.24605426631046e-19	0	0	0.00466463096104761	0	1.48026260533934e-19	5.07450492092355e-19	0	0.00815861795795431	0	1.48819031417915e-17	0	2.27219182330775e-18	1.74984830849643e-18
MSC	0.163615843572716	0.0140370285222879	0.130616501182533	0.0317353200451549	2.13276355454865e-18	0.0780831824126574	0.0839966368611148	0.045481501349079	0.191173729545548	0	0.162142026460349	0.0486864412875568	0.0201708028490768	0.0652126674321041	0.0749888029292415	0	0.0381286895001849	2.51545190706258e-20	0	0.0961219248784353	0.0840904205235386	0	0.0322883982698634	0.12057644690888	0.0204494319210897	9.58133951945904e-18	0.0698509158490939	0
mv_Endothelial_cells	0	0	1.32869199423122e-19	0.00279141263596768	0.02644666756007	0.0192553391670047	0	0.00582896016786505	0	0.0178402259511667	3.42022739524561e-19	3.64878264878593e-19	7.64019266685947e-19	0.000936347249079115	1.67630831992254e-19	0	0.0159382103993847	1.79075353118595e-18	0	2.74328071532134e-18	0.0139163533279121	0.023864564857045	8.96783349922929e-19	0	0.00997962274835503	0.000881167812820694	1.03238160750253e-19	0.00727087558252226
Myocytes	0.014237081137442	0.02256827777149	0.00938690074776968	0.00610893680100276	0.00581699671326627	0.00985090908408697	0.00253974305119863	0.0210962548523337	0.0130396144021078	0.00128239834254755	5.48551931124535e-19	0.00231097148328981	1.47626342814761e-19	0.00344810464730979	0.00390879687513401	7.57476479748456e-20	0.0542484678867249	0.00506640236352478	0.0276689286473088	0.0110807975312061	0.0336223215522539	0.00187123968233839	6.70251369491966e-19	0.00597295309333819	0.00508298208443245	0.00431089362086978	1.98863540424728e-19	0
naive_B_cells	0.0242382832416237	0.0229025987510351	0	0.0437135007611421	1.53988814393088e-18	3.15013430836016e-18	0.0281444686993818	0.00712531139843721	0.0251468665486616	0	0.0517919267797038	0.038501869514296	0.0164080383117537	0.0336793732751379	0.0677987885039075	0	0.00917764025547983	0.0269194234042897	0.029994541322067	0.0485666845226776	2.19568393334579e-18	0	0	0	0.0273599148858534	0.00469832103756973	0.0157376890196076	0.00735732148500953
Neurons	0.00875212927459333	0.0034051784709499	0.00623353298785679	0.000720798972129117	0	0.00484846988049437	0.00113626085388502	0.00332296809439421	0.000315616786214652	0	0.00212515250290703	0	0	0	0.00188399626583283	0	0.00984192998826675	8.27392656459263e-05	0.00450295547347987	0.000584817207309915	0.00116922654619325	0	9.16849362459642e-21	0	0.00170110027552111	0	0	4.78574384176215e-19
Neutrophils	0	0	0.00192203439534355	1.48663631076524e-19	0.00655672554807747	0	0	0	0.00115126530284655	0.00330632036540125	0.0029194321651718	0	8.48844273742673e-19	9.28242624990075e-22	0	1.17342641653688e-18	4.97494007942805e-18	0.0071824581834418	0	6.18698862158708e-20	8.79152872299426e-19	5.15959524628466e-20	1.15305504846076e-19	0.00468525061468939	0	0	0.00133091134501826	4.23452318484791e-20
NK_cells	7.06739241386507e-19	0.0199703339145914	2.67078158957726e-17	4.03866173653012e-19	0	0.00753341628351651	0	0.0193097443146311	0.0232036173659235	1.66848935568706e-17	2.97754409811803e-18	4.42004609521331e-18	0	0	0	1.86043375485592e-17	0.0158230789768864	0	5.62189132460198e-18	8.4013744955652e-18	0.00226802985289493	0	9.84327231607431e-18	0	0	4.62481493915674e-19	9.62148120573228e-18	1.64472143805697e-17
NKT	0.0237130550780785	0.00816391909248607	0.112856987807116	0.0475442537473879	0.110880862603835	0.00983849736109883	2.0657101136464e-18	0	0.026874866928245	0.289188604671389	0.0373703464315589	0.0336280473316203	0.200066654819578	0.186842894683589	0.00332382051048748	0.0726342091854862	0	0.0651376318503491	0.173344424860686	0.127294092495792	0.0840342433804019	0.150290967261423	0.252749276240796	0.082471005900107	0.0389582306391779	0.207956406985853	0.243794063845712	0.120513169702529
Osteoblast	2.10938924422319e-17	0	8.63759766626127e-18	0.0140373533414378	0.0381940365945436	2.13013385501503e-18	0	0.0562347358921586	0.0319871951286328	0.0774051181396627	0	0.00417823228316834	0.0512187323126579	0.0039070730189177	0.0167736061848221	0	0.00520488167970088	0.016233956701163	0	0.0129302425198011	0.0358814909264475	0.0333826893428368	0.0238150269413901	0.0241086503444655	0.0118880914327543	0.0229031261341708	0.0252670185618582	0.014587529060147
pDC	4.74808967322269e-19	0	0.00620549120934556	0	0	0	0	4.31309171019926e-19	4.14280260627259e-18	6.20374374104911e-19	0.024177604764834	0.00646475640086617	0.00308294033652102	3.13599787198266e-18	0.000661179089530862	0.0183615611345229	2.56899243364847e-19	0.00481806185735905	0	2.79604480892173e-18	0	6.18766143729388e-19	2.05851868556012e-20	0.00726642993813053	0	0.0235203109528212	0.00099753655671546	1.96854659276213e-18
Pericytes	0	0	3.00419134650772e-17	0.00680811578272331	0.00316510419623496	0.00546390878956655	2.00180758148174e-17	0	0	0.0202123092372512	1.37033419091368e-17	0.00804255706901063	0.0554950708680998	0.0158731282670278	0.00428298886588938	0	1.45469438524688e-18	0.00907346856596923	0.00298023617275704	0	1.14806194483976e-19	0.0395674992166836	0.00219139536581834	1.47752717960087e-18	0.059973778218787	1.22236474125071e-19	1.12429189371044e-18	0.0279196072894955
Plasma_cells	0.0323745114909483	0.0256121969417175	0.00655812741030223	0.0209099225781994	0.00197382771916032	0.0109087264028798	0.0720305706642388	0.040702105025607	0.0269127808072584	0	0.0583082149150363	0.0318601858754927	0.00544764630665457	0.0458691897812449	0.0700393199676022	0.0279939577883517	0.0184573123279901	0.018699465618926	0.0184837004883356	0.0249818080118101	0.00775372887584545	0.0137126811434022	0.00879408922011901	5.33557668416611e-19	0.032715316304456	0.0260193584729895	6.12316981232202e-05	0.0292045340467221
