genename	species	cancername	sample	method
Tuc339	Mus musculus (mouse)	liver cancer	Healthy male albino rats () of similar age (~4 weeks) and weight (~130?gm) were housed in a temperature-controlled (25–27°C) and light-controlled room (12?h light/dark cycle) with free access to food (standard diet) and water. 	RT-PCR,Western blot,etc.
lncHEIH	Mus musculus (mouse)	liver cancer	Healthy male albino rats () of similar age (~4 weeks) and weight (~130?gm) were housed in a temperature-controlled (25–27°C) and light-controlled room (12?h light/dark cycle) with free access to food (standard diet) and water. 	RT-PCR,Western blot,etc.
HOTAIR	Mus musculus (mouse)	liver cancer	Healthy male albino rats () of similar age (~4 weeks) and weight (~130?gm) were housed in a temperature-controlled (25–27°C) and light-controlled room (12?h light/dark cycle) with free access to food (standard diet) and water. 	RT-PCR,Western blot,etc.
H19	Homo sapiens (human)	breast cancer	DOX-resistant breast cancer cells (MCF-7/DOX and MDA-MB-231/DOX),MCF-7 and MDA-MB-231 cells	Western blot,etc.
HOTAIR	Homo sapiens (human)	breast cancer	Human breast cancer cell lines (MDA-MB-231 and MCF-7)and a normal breast epithelial cell line (MCF-10A)	Western blot,RT-qPCR,etc.
linc-VLDLR	Homo sapiens (human)	liver cancer	 HCC cell lines HepG2,Hep3B,PLC/PRF-5 and Huh-7	RT-qPCR,Western blot,etc.
LINC00152	Homo sapiens (human)	gastric cancer	Paired plasma samples (preoperative and postoperative)were obtained from 79 GC patients,and the postoperativeones were collected 10 days after surgery.	RT-qPCR,etc.
HOTTIP 	Homo sapiens (human)	colorectal cancer	Cohort 1 consists of 52 patients with CRC that underwent tumor	etc.
UCA1 	Homo sapiens (human)	lung cancer	Eighty-six paired NSCLC tissues and matched adjacent normaltissues;The NSCLC cell lines (HCC827 and PC9) and human bronchialepithelial cells (16HBE).	Western blot,RT-qPCR,Luciferase,RIP,etc.
PTENP1	Homo sapiens (human)	glioblastoma	The human glioma cell line U87	RT-qPCR,Luciferase,etc.
ENSG00000258332.1	Homo sapiens (human)	liver cancer	60 CHB patients,and 60 healthy subjects	RT-PCR,etc.
LINC00635	Homo sapiens (human)	liver cancer	60 CHB patients,and 60 healthy subjects	RT-PCR,etc.
aHIF	Homo sapiens (human)	ovarian cancer	Five human EOC cell lines (SKOV3,SKOV3.ip,HO8910,HO8910.PM,and ES2) and the nontumorous human ovarian surface epithelial cell (HOSEPIC) line 	Western blot,RT-qPCR,etc.
PCSEAT 	Homo sapiens (human)	prostate cancer	The 293T,PC3,DU145,LNCaP,22Rv1,RWPE-1,769-P,786-O,ACHN,Calu-1 and NCI-H1299 cells line	ChIP-Seq,Western blot,etc.
HOTAIR 	Homo sapiens (human)	laryngeal cancer	Fresh human hepatocellular carcinoma (HCC) tissues (n=20) 	Microarray,etc.
CRNDE	Homo sapiens (human)	colorectal cancer	CRC cell lines (HCT116,HT29,and LoVo) 	etc.
H19	Homo sapiens (human)	colorectal cancer	CRC cell lines (HCT116,HT29,and LoVo) 	etc.
UCA1	Homo sapiens (human)	colorectal cancer	CRC cell lines (HCT116,HT29,and LoVo) 	etc.
HOTAIR	Homo sapiens (human)	colorectal cancer	CRC cell lines (HCT116,HT29,and LoVo) 	etc.
DLX6-AS1	Homo sapiens (human)	lung cancer	The human NSCLC A549,H1299 and 95D,and normal human epithelial BEAS-2B cell lines.	RT-qPCR,Western blot,etc.
ENST00000560647 	Homo sapiens (human)	pancreatic cancer	The human pancreatic cancer cell line PANC-1	RT-qPCR,Microarray,Western blot,etc.
pcsk2-2:1	Homo sapiens (human)	gastric cancer	A total of 63 blood specimens of patients with newly diagnosed gastric cancer	RT-qPCR,etc.
Lnc-KIAA1244-2	Homo sapiens (human)	esophageal cancer	53 pairs of ESCC tumor tissues and their adjacent normal esophageal tissues (2.0?cm from the edge of tumor tissue) 	RT-qPCR,Western blot,etc.
PVT1	Homo sapiens (human)	osteosarcoma	Human osteosarcoma cell lines (MNNG/HOS,Saos-2,and MG-63)	Western blot,RT-qPCR,RIP,Luciferase,
HOTAIR	Homo sapiens (human)	laryngeal cancer	52 patients of LSCC and 49 patients of vocal cord polyps withCRPB0.3 ml/dl	Western blot,RT-qPCR,etc.
H19	Mus musculus (mouse)	skin tumor	mouse keratinocytes cultured in vitro and mouse epidermis from epidermal-specific VDR null mice and their normal littermates.	etc.
HOTTIP	Mus musculus (mouse)	skin tumor	mouse keratinocytes cultured in vitro and mouse epidermis from epidermal-specific VDR null mice and their normal littermates.	etc.
Nespase	Mus musculus (mouse)	skin tumor	mouse keratinocytes cultured in vitro and mouse epidermis from epidermal-specific VDR null mice and their normal littermates.	etc.
Kcnq1ot1	Mus musculus (mouse)	skin tumor	mouse keratinocytes cultured in vitro and mouse epidermis from epidermal-specific VDR null mice and their normal littermates.	etc.
lincRNA-p21	Mus musculus (mouse)	skin tumor	mouse keratinocytes cultured in vitro and mouse epidermis from epidermal-specific VDR null mice and their normal littermates.	etc.
MALAT1	Mus musculus (mouse)	skin tumor	mouse keratinocytes cultured in vitro and mouse epidermis from epidermal-specific VDR null mice and their normal littermates.	etc.
SRA	Mus musculus (mouse)	skin tumor	mouse keratinocytes cultured in vitro and mouse epidermis from epidermal-specific VDR null mice and their normal littermates.	etc.
Foxn2	Mus musculus (mouse)	skin tumor	mouse keratinocytes cultured in vitro and mouse epidermis from epidermal-specific VDR null mice and their normal littermates.	etc.
Gtl2	Mus musculus (mouse)	skin tumor	mouse keratinocytes cultured in vitro and mouse epidermis from epidermal-specific VDR null mice and their normal littermates.	etc.
ENST00000588480.1	Homo sapiens (human)	cholangiocarcinoma	Bile samples of CCA (n = 35) and biliary obstruction patients (n = 56) 	RT-PCR,etc.
NST00000517758.1	Homo sapiens (human)	cholangiocarcinoma	Bile samples of CCA (n = 35) and biliary obstruction patients (n = 56) 	RT-PCR,etc.
CRNDE-p	Homo sapiens (human)	colorectal cancer	The normal human colon mucosal epithelial cell line,NCM460 and human colorectal cancer cell lines (HT-29,SW480,HCT-116,SW620,LoVo,SW48,DLD-1,Caco2 and HT-15)	Western blot,RT-qPCR,etc.
Xist 	Homo sapiens (human)	liver cancer	cell lines QGY-7703,Hela and HL-60	RT-qPCR,Microarray,Western blot,ChIP,Luciferase,etc.
TBILA	Homo sapiens (human)	lung cancer	total of 150 patients with NSCLC,including 86 ADCs and 64 SCCs,and 150 healthy controls	RT-qPCR,etc.
AGAP2-AS1	Homo sapiens (human)	lung cancer	total of 150 patients with NSCLC,including 86 ADCs and 64 SCCs,and 150 healthy controls	RT-qPCR,etc.
MRPL23-AS1	Homo sapiens (human)	lung cancer	SACC-83 and SACC-LM cell line	qPCR,Western blot,RIP,ChIP,FISH,etc.
SCHLAP1	Homo sapiens (human)	prostate cancer	Liquid biopsies contain a variety of clinically informative components. Blood samples can be analyzed for circulating tumor cells (CTCs),tumor educated platelets ,exosomes and cell-free nucleic acids 	etc.
