genename	species	cancername	sample	method
LOC690954	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC690974	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC690977	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC690984	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC690991	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691030	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691361	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691395	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691403	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691406	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691410	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691414	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691460	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691487	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691491	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691502	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691509	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691518	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691522	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691539	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691569	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691575	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691586	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691595	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691633	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691672	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691681	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691692	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691712	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691744	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691760	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691762	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691765	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691773	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691793	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
LOC691832	Rattus norvegicus	pancreatic cancer	Pancreatic adenocarcinoma cells	RT-PCR,Western blot,Microarray,FACS,Mass spectrometry [MALDI TOF]
TSG101	Homo sapiens (human)	prostate cancer	LNCaP, 22Rv1 and DU145 cells	Western blot,RNAi,etc.
PKD	Rats	Polycystic Kidney Disease	LNCaP, 22Rv1 and DU145 cells	Western blot,RNAi,etc.
MUC1	Homo sapiens (human)	Influenza	T-Col	Flow Cytometry,Immunoblotting
MUC4	Homo sapiens (human)	Influenza	T-Col	Flow Cytometry,Immunoblotting
TSG101	Homo sapiens (human)	Influenza	T-Col	Flow Cytometry,Immunoblotting
MYD88	Mice	Insulin Resistance	C57BL/6j (B6) 	ELISA
RBP4	Mice	Insulin Resistance	C57BL/6j (B6) 	ELISA
TLR2	Mice	Insulin Resistance	C57BL/6j (B6) 	ELISA
TLR4	Mice	Insulin Resistance	C57BL/6j (B6) 	ELISA
CBL	Homo sapiens (human)	gastric cancer	NA	Cell apoptosis,RT-PCR
CD63	Homo sapiens (human)	Herpes Simplex	The oligodendroglial precursor cell line Oli-neu	Exosome Purification and Western Blotting 
CD63	Herpesvirus 1, Human	Herpes Simplex	The oligodendroglial precursor cell line Oli-neu	Exosome Purification and Western Blotting 
TSPAN8	Rats	endothelial cell activation	NA	NA
CCR1	Rats	endothelial cell activation	NA	NA
CXCL5	Rats	endothelial cell activation	NA	NA
MIF	Rats	endothelial cell activation	NA	NA
NPC1	Homo sapiens (human)	Niemann-Pick type C disease	NA	NA
IDE	Mice	Alzheimer Disease	Microglia N9, BV-2 	Protein Analysis and Cell Fractionation,Isolation and Characterization of Exosomes,etc.
APC	Homo sapiens (human)	Influenza	C57B6 or H-2M C57B6	Immunoblotting,Electron microscopy,etc.
RAB27A	Homo sapiens (human)	breast cancer	Myofibroblast	NA
RAB27B	Homo sapiens (human)	breast cancer	Myofibroblast	NA
TP53	Homo sapiens (human)	colorectal cancer	HCT116 Cell	NA
EXOSC3	Homo sapiens (human)	pontocerebellar hypoplasia and spinal motor neuron degeneration	HeLa cells	Northern blot,Western blot,etc.
APC	Homo sapiens (human)	colon cancer	NA	RT-PCR,Immunoblotting
DKK4	Homo sapiens (human)	colon cancer	NA	RT-PCR,Immunoblotting
HNF4A	Homo sapiens (human)	Cerebellar Neoplasms	NA	Cell migration,Cell proliferation
CD63	Mice	breast cancer	NA	NA
CD80	Homo sapiens (human)	Mycobacterium avium-intracellulare Infection	NA	ELISA,Flow Cytometry
CD86	Homo sapiens (human)	Mycobacterium avium-intracellulare Infection	NA	ELISA,Flow Cytometry
CAV1	Homo sapiens (human)	glioblastoma	Human umbilical vein endothelial cells (HUVECs, Lonza)	Flow Cytometry Analysis,Immunoblotting and Immunoprecipitation,etc.
CAV1	Mice	glioblastoma	Human umbilical vein endothelial cells (HUVECs, Lonza)	Flow Cytometry Analysis,Immunoblotting and Immunoprecipitation,etc.
RED	Homo sapiens (human)	Malaria	NA	NA
EGFR	Homo sapiens (human)	breast cancer	MDA-MB-231 cells or MCF-7 	Immunoblotting and Immunoprecipitation,DNA Microarray,cDNA,RT-PCR,etc.
APCS	Homo sapiens (human)	Prion Disease	NA	NA
APCS	Mice	Prion Disease	NA	NA
SETX	Homo sapiens (human)	Apraxia	SETX and Rrp45 immunoprecipitation	Immunoprecipitations, His purification, and Western blot
FUSE	Homo sapiens (human)	Anthrax	RPE1 (Retinal Pigment Epithelial cells) cells	RT-PCR,Intoxication of mice
FUSE	Mice	Anthrax	RPE1 (Retinal Pigment Epithelial cells) cells	RT-PCR,Intoxication of mice
EMT	Homo sapiens (human)	bladder cancer	NA	NA
EMT	Mice	bladder cancer	NA	NA
BAX	Homo sapiens (human)	breast cancer	NA	Cell proliferation,MTT assay
FAS	Homo sapiens (human)	breast cancer	NA	Cell proliferation,MTT assay
EGFR	Homo sapiens (human)	lung cancer	NA	ELISA
EGFR	Mice	lung cancer	NA	ELISA
WNT3A	Homo sapiens (human)	diffuse large b-cell lymphoma	NA	NA
ARF6	Homo sapiens (human)	HIV	NA	NA
PLD2	Homo sapiens (human)	HIV	NA	NA
RAB27A	Homo sapiens (human)	lung cancer	A549 Cells	NA
RAB27A	Homo sapiens (human)	lung cancer	A549 Cells	NA
HOTAIR	Homo sapiens (human)	Rheumatoid Arthritis	Synoviocytes,Osteoclasts	NA
Bcl-2	Homo sapiens (human)	bladder cancer	NA	NA
Mcl-1	Homo sapiens (human)	bladder cancer	NA	NA
BAX	Homo sapiens (human)	pancreatic cancer	NA	MTT assay
FAS	Homo sapiens (human)	pancreatic cancer	NA	MTT assay
SKIV2L	Homo sapiens (human)	implications for specific autoimmune disorders	THES (c.1635insA/c.1635insA) 	RT-PCR,immunoblot,etc.
SKIV2L	Mice	implications for specific autoimmune disorders	THES (c.1635insA/c.1635insA) 	RT-PCR,immunoblot,etc.
TREX1	Homo sapiens (human)	implications for specific autoimmune disorders	THES (c.1635insA/c.1635insA) 	RT-PCR,immunoblot,etc.
TREX1	Mice	implications for specific autoimmune disorders	THES (c.1635insA/c.1635insA) 	RT-PCR,immunoblot,etc.
p53	Homo sapiens (human)	lung cancer	A549 Cells	Cell proliferation,MTT assay,RT-PCR,Western blot
p53	Mice	lung cancer	A549 Cells	Cell proliferation,MTT assay,RT-PCR,Western blot
Bcl-2	Homo sapiens (human)	lung cancer	A549 Cells	Cell proliferation,MTT assay,RT-PCR,Western blot
Bcl-2	Mice	lung cancer	A549 Cells	Cell proliferation,MTT assay,RT-PCR,Western blot
bcl-xL	Homo sapiens (human)	lung cancer	A549 Cells	Cell proliferation,MTT assay,RT-PCR,Western blot
bcl-xL	Mice	lung cancer	A549 Cells	Cell proliferation,MTT assay,RT-PCR,Western blot
MIR23B	Homo sapiens (human)	bladder cancer	NA	NA
MIR23B	Mice	bladder cancer	NA	NA
MIR224	Homo sapiens (human)	bladder cancer	NA	NA
MIR224	Mice	bladder cancer	NA	NA
MIR921	Homo sapiens (human)	bladder cancer	NA	NA
MIR921	Mice	bladder cancer	NA	NA
RAB27A	Homo sapiens (human)	bladder cancer	NA	NA
RAB27A	Mice	bladder cancer	NA	NA
RAB27B	Homo sapiens (human)	bladder cancer	NA	NA
RAB27B	Mice	bladder cancer	NA	NA
VCP	Homo sapiens (human)	Hepatitis B	NA	Immunoblotting
VCP	Homo sapiens (human)	liver cancer	NA	Immunoblotting
EPCAM	Homo sapiens (human)	pancreatic cancer	NA	qRT-PCR,Flow Cytometry
MET	Homo sapiens (human)	pancreatic cancer	NA	qRT-PCR,Flow Cytometry
TSPAN8	Homo sapiens (human)	pancreatic cancer	NA	qRT-PCR,Flow Cytometry
GAPDH	Homo sapiens (human)	lung cancer	The human non-small cell lung cancer cell line H460 and mouse Lewis lung cancer cell line LLC1	RT-qPCR
GAPDH	Mice	lung cancer	The human non-small cell lung cancer cell line H460 and mouse Lewis lung cancer cell line LLC1	RT-qPCR
NOTCH3	Homo sapiens (human)	breast cancer	RDS-R breast cancer cell lines 	In vivo mouse studies,exosome isolation and analysis,etc.
NOTCH3	Mice	breast cancer	RDS-R breast cancer cell lines 	In vivo mouse studies,exosome isolation and analysis,etc.
STAT1	Homo sapiens (human)	breast cancer	RDS-R breast cancer cell lines 	In vivo mouse studies,exosome isolation and analysis,etc.
STAT1	Mice	breast cancer	RDS-R breast cancer cell lines 	In vivo mouse studies,exosome isolation and analysis,etc.
HOXD10	Homo sapiens (human)	breast cancer	human MCF-7 and MDA-MB-231 cells 	Cell invasion,Western blot
KLF4	Homo sapiens (human)	breast cancer	human MCF-7 and MDA-MB-231 cells 	Cell invasion,Western blot
SMPD3	Homo sapiens (human)	breast cancer	human MCF-7 and MDA-MB-231 cells 	Cell invasion,Western blot
ABCG2	Homo sapiens (human)	pancreatic cancer	Pancreatic cancer cell lines AsPC-1 and PANC-1	NA
LRRK2	Homo sapiens (human)	Parkinson Disease	Pancreatic cancer cell lines AsPC-1 and PANC-1	NA
CD163	Swine	Porcine Reproductive and Respiratory Syndrome	Alveolar Macrophages	RT-PCR,Flow Cytometry
CD163	Porcine respiratory and reproductive syndrome virus	Porcine Reproductive and Respiratory Syndrome	Alveolar Macrophages	RT-PCR,Flow Cytometry
CD151	Rats	pancreatic cancer	ASML, ASML-Tspan8kd, ASML-CD151kd, ASML-CD151/Tspan8kd, LN332 secreting 804G, LuFb, LnStr (B12), RAEC lines were maintained in RPMI1640/10%FCS, supplemented for ASML-Tspan8kd and ASML-CD151kd cells with 750μg/ml G418 and for ASML-CD151/Tspan8kd additionally with 5μg/ml puromycin. ASML-Tspan8kd were transfected with pSuperGFP-neoplasmid containing CD151 shRNA to generate stable double knockdown lines following the supplier's suggestion.	In vivo assays,Zymography,Soft agar assay,etc.
TSPAN8	Rats	pancreatic cancer	ASML, ASML-Tspan8kd, ASML-CD151kd, ASML-CD151/Tspan8kd, LN332 secreting 804G, LuFb, LnStr (B12), RAEC lines were maintained in RPMI1640/10%FCS, supplemented for ASML-Tspan8kd and ASML-CD151kd cells with 750μg/ml G418 and for ASML-CD151/Tspan8kd additionally with 5μg/ml puromycin. ASML-Tspan8kd were transfected with pSuperGFP-neoplasmid containing CD151 shRNA to generate stable double knockdown lines following the supplier's suggestion.	In vivo assays,Zymography,Soft agar assay,etc.
CD63	Homo sapiens (human)	Brain Cancer	Brain neuronal glioblastoma-astrocytoma U-87 MG, endothelial bEND.3, neuroectodermal tumor PFSK-1, and glioblastoma A-172 cell lines	qRT-PCR,etc.
CD63	Homo sapiens (human)	Asthma	NA	Western blot,Flow Cytometry
FUSE	Homo sapiens (human)	Spinal Cord Injury	inflammasome proteins spinal cord sections	Immunoblot,etc.
FUSE	Rats	Spinal Cord Injury	inflammasome proteins spinal cord sections	Immunoblot,etc.
NLRP1	Homo sapiens (human)	Spinal Cord Injury	inflammasome proteins spinal cord sections	Immunoblot,etc.
NLRP1	Rats	Spinal Cord Injury	inflammasome proteins spinal cord sections	Immunoblot,etc.
CD9	Homo sapiens (human)	Vascular Calcification	Alexa488-labeled fetuin-A	NA
CD63	Homo sapiens (human)	Vascular Calcification	Alexa488-labeled fetuin-A	NA
CD81	Homo sapiens (human)	Vascular Calcification	Alexa488-labeled fetuin-A	NA
C6	Homo sapiens (human)	breast cancer	MDA-MB 231 cells 	Exosome isolation,MTT assay,RT-PCR,siRNA transfection,etc
STEP	Homo sapiens (human)	breast cancer	MDA-MB 231 cells 	Exosome isolation,MTT assay,RT-PCR,siRNA transfection,etc
CCL20	Mice	colon cancer	Th17 Cells,C57BL/6J, Rag1−/−, CCR6−/−, OT-II and APCMin/+ mice	RNA extraction and PCR,Western Blot,Flow cytometry
CD163	Mice	Neuroblastoma	supernatant (SN) of SK-N-BE(2), CHLA-255, and IMR-32 NBL cell lines 	Luciferase activity,qRT-PCR,etc.
PER	Mice	Neuroblastoma	supernatant (SN) of SK-N-BE(2), CHLA-255, and IMR-32 NBL cell lines 	Luciferase activity,qRT-PCR,etc.
TERF1	Mice	Neuroblastoma	supernatant (SN) of SK-N-BE(2), CHLA-255, and IMR-32 NBL cell lines 	Luciferase activity,qRT-PCR,etc.
JUN	Homo sapiens (human)	gastric cancer	Stomach adenocarcinoma cell line SGC-7901 	Cell proliferation,microarray,Western blot
CD63	Mice	Acute Lung Injury	RAW 264.7 Cells,Neutrophils	RT-PCR,Western blot,MicroRNA microarray,etc.
MSC	Mice	Acute Lung Injury	RAW 264.7 Cells,Neutrophils	RT-PCR,Western blot,MicroRNA microarray,etc.
cIAP2	Homo sapiens (human)	Gonorrhea	End/E6E7	Caspase-3,flow cytometry,Western blot,qRT-PCR,ect.
CD4	Homo sapiens (human)	AIDS	NA	NA
MAL	Homo sapiens (human)	HIV	NA	NA
CD63	Homo sapiens (human)	HIV	NA	NA
PER	Homo sapiens (human)	ovarian cancer	Human ovarian cancer SKOV3, OV90, and TOV112 cells, human endometrial cancer Ishikawa cells, and human colorectal cancer HCT116 cells	Immunoblot,etc.
PER	Mice	ovarian cancer	Human ovarian cancer SKOV3, OV90, and TOV112 cells, human endometrial cancer Ishikawa cells, and human colorectal cancer HCT116 cells	Immunoblot,etc.
AMOTL1	Homo sapiens (human)	breast cancer	human breast cancer cell lines MCF7, MDA-MB-231, BT20 and ZR-75-1	Exosome isolation,Western blot,Rt-PCR,etc.
NRP1	Homo sapiens (human)	breast cancer	human breast cancer cell lines MCF7, MDA-MB-231, BT20 and ZR-75-1	Exosome isolation,Western blot,Rt-PCR,etc.
RAB27A	Homo sapiens (human)	breast cancer	human breast cancer cell lines MCF7, MDA-MB-231, BT20 and ZR-75-1	Exosome isolation,Western blot,Rt-PCR,etc.
CD55	Homo sapiens (human)	gastric cancer	L Cells,L-Cell	Cell proliferation
CD55	Mice	gastric cancer	L Cells,L-Cell	Cell proliferation
CD151	Homo sapiens (human)	gastric cancer	L Cells,L-Cell	Cell proliferation
CD151	Mice	gastric cancer	L Cells,L-Cell	Cell proliferation
PAM	Swine	Porcine Reproductive and Respiratory Syndrome	Alveolar Macrophages	RT-PCR,RNAi
PAM	Porcine respiratory and reproductive syndrome virus	Porcine Reproductive and Respiratory Syndrome	Alveolar Macrophages	RT-PCR,RNAi
EGF	Homo sapiens (human)	glioblastoma	Human cancer cell lines, including A431 (epidermal), MDA-MB-231 (breast), BxPC3, PANC-1 (pancreatic), PC-3 (prostate), DLD-1, and CaCo2 (colon)	Western Blot,DNA Analysis,etc.
EGF	Mice	glioblastoma	Human cancer cell lines, including A431 (epidermal), MDA-MB-231 (breast), BxPC3, PANC-1 (pancreatic), PC-3 (prostate), DLD-1, and CaCo2 (colon)	Western Blot,DNA Analysis,etc.
EGFR	Homo sapiens (human)	glioblastoma	Human cancer cell lines, including A431 (epidermal), MDA-MB-231 (breast), BxPC3, PANC-1 (pancreatic), PC-3 (prostate), DLD-1, and CaCo2 (colon)	Western Blot,DNA Analysis,etc.
EGFR	Mice	glioblastoma	Human cancer cell lines, including A431 (epidermal), MDA-MB-231 (breast), BxPC3, PANC-1 (pancreatic), PC-3 (prostate), DLD-1, and CaCo2 (colon)	Western Blot,DNA Analysis,etc.
ERK	Homo sapiens (human)	glioblastoma	Human cancer cell lines, including A431 (epidermal), MDA-MB-231 (breast), BxPC3, PANC-1 (pancreatic), PC-3 (prostate), DLD-1, and CaCo2 (colon)	Western Blot,DNA Analysis,etc.
ERK	Mice	glioblastoma	Human cancer cell lines, including A431 (epidermal), MDA-MB-231 (breast), BxPC3, PANC-1 (pancreatic), PC-3 (prostate), DLD-1, and CaCo2 (colon)	Western Blot,DNA Analysis,etc.
LPS	Mice	Sepsis	Male wild-type C57BL/6 mice 	Western Blot,etc.
MTOR	Homo sapiens (human)	Alzheimer Disease	27 healthy controls, 28 AD, and 47 PD patients (a total of 102 subjects) 	qPCR,etc.
HSC	Homo sapiens (human)	Liver Fibrosis	Hepatic Stellate Cells	microarray,Western blot
HSC	Mice	Liver Fibrosis	Hepatic Stellate Cells	microarray,Western blot
S1PR2	Mice	Liver Fibrosis	Hepatic Stellate Cells	microarray,Western blot
STAT1	Mice	Malignant Melanoma	C57BL/KaLwRij mice	Flow cytometry,Western blot,etc.
STAT3	Mice	Malignant Melanoma	C57BL/KaLwRij mice	Flow cytometry,Western blot,etc.
PGP	Mice	lung cancer	RAW 264.7 macrophages, Madin-Darby canine kidney MDCKWT and MDCKMDR1 cells	In vitro Cytotoxicity Assay
DKK1	Homo sapiens (human)	Malignant Melanoma	RPMI-8226 and CAG human myeloma cells	Cell invasion
CRYAB	Homo sapiens (human)	glioblastoma	U373 cells,U118MG cells	Exosome isolation
CD63	Homo sapiens (human)	glioblastoma	U373 cells,U118MG cells	Exosome isolation
LPS	Mice	Malignant Melanoma	C57BL/6 female mice and CD45.2+ OT-I 	immunological readouts
LPS	Homo sapiens (human)	Malignant Melanoma	C57BL/6 female mice and CD45.2+ OT-I 	immunological readouts
EPCAM	Homo sapiens (human)	ovarian cancer	NA	ChIP
Bcl-2	Homo sapiens (human)	colorectal cancer	HCT116 Cells	RT-PCR,Flow Cytometry
HPD	Mice	Insulin Resistance	Pancreatic beta Cells	microarray,qRT-PCR
PALM	Mice	Insulin Resistance	Pancreatic beta Cells	microarray,qRT-PCR
PTCH1	Mice	Insulin Resistance	Pancreatic beta Cells	microarray,qRT-PCR
SCD	Mice	Insulin Resistance	Pancreatic beta Cells	microarray,qRT-PCR
PDCD4	Homo sapiens (human)	esophageal cancer	NA	NA
RAB27A	Homo sapiens (human)	Inflammatory Bowel Disease	NA	NA
RAB27B	Homo sapiens (human)	Inflammatory Bowel Disease	NA	NA
MTOR	Homo sapiens (human)	chronic lymphocytic leukemia	The CML cell line K562	Western Blot,Knockdown of Beclin-1
NOTCH1	Homo sapiens (human)	chronic lymphocytic leukemia	The CML cell line K562	Western Blot,Knockdown of Beclin-1
LNCARSR	Homo sapiens (human)	renal cancer	NA	NA
LNCARSR	Mice	renal cancer	NA	NA
LNCARSR	Homo sapiens (human)	renal cancer	NA	NA
LNCARSR	Mice	renal cancer	NA	NA
AXL	Homo sapiens (human)	renal cancer	NA	NA
AXL	Mice	renal cancer	NA	NA
AVPR2	Homo sapiens (human)	Diabetes Insipidus	NA	NA
AVPR2	Homo sapiens (human)	Nephrogenic Diabetes Insipidus	NA	NA
LPS	Homo sapiens (human)	pancreatic cancer	NA	NA
CCL4	Mice	Liver Fibrosis	Hepatic Stellate Cells	NA
HSC	Mice	Liver Fibrosis	Hepatic Stellate Cells	NA
TLR3	Mice	Liver Fibrosis	Hepatic Stellate Cells	NA
CD40L	Homo sapiens (human)	Malignant Melanoma	Cytotoxic T Lymphocyte	Cell proliferation
CD40L	Mice	Malignant Melanoma	Cytotoxic T Lymphocyte	Cell proliferation
HBS1L	Homo sapiens (human)	Hepatitis B	NA	NA
HBS1L	Saccharomyces cerevisiae	Hepatitis B	NA	NA
YKT6	Homo sapiens (human)	lung cancer	A549 Cells,A549 Cell Line	luciferase assay,Western blot
TSG101	Homo sapiens (human)	lung cancer	A549 Cells,A549 Cell Line	luciferase assay,Western blot
TP53	Homo sapiens (human)	colorectal cancer	HCT116 colon cancer cells	Western blot,etc.
CD9	Homo sapiens (human)	osteosarcoma	NA	Cell migration
BMI1	Homo sapiens (human)	Obesity	four adipose stem cells sc-ASCn, om-ASCn, sc-ASCo and om-ASCo	qPCR,Flow Cytometry
KLF4	Homo sapiens (human)	Obesity	four adipose stem cells sc-ASCn, om-ASCn, sc-ASCo and om-ASCo	qPCR,Flow Cytometry
SOX15	Homo sapiens (human)	Obesity	four adipose stem cells sc-ASCn, om-ASCn, sc-ASCo and om-ASCo	qPCR,Flow Cytometry
CA1	Mice	Alzheimer Disease	Sixty plasma samples 	Immunohistochemistry
NRGN	Mice	Alzheimer Disease	Sixty plasma samples 	Immunohistochemistry
REST	Mice	Alzheimer Disease	Sixty plasma samples 	Immunohistochemistry
FAS	Homo sapiens (human)	Type 1 Diabetes	Regulatory T Cell	NA
FAS	Mice	Type 1 Diabetes	Regulatory T Cell	NA
GM-CSF	Homo sapiens (human)	Malignant Melanoma	Melanoma exosome modulation of CD169+ SCS	NA
GM-CSF	Mice	Malignant Melanoma	Melanoma exosome modulation of CD169+ SCS	NA
KAI1	Homo sapiens (human)	colorectal cancer	NA	NA
GAL	Homo sapiens (human)	colorectal cancer	NA	NA
CLC	Homo sapiens (human)	Cancer of the Nasopharynx	NA	NA
RAB27A	Homo sapiens (human)	TDP-43 Proteinopathy	Astrocytes,Microglia	RT-PCR
RAB27A	Mice	TDP-43 Proteinopathy	Astrocytes,Microglia	RT-PCR
NEAT1	Homo sapiens (human)	Hemorrhagic Fever with Renal Syndrome	NA	NA
ERK	Homo sapiens (human)	glioblastoma	Astrocytes	NA
PTEN	Homo sapiens (human)	glioblastoma	Astrocytes	NA
SOX2	Homo sapiens (human)	glioblastoma	Astrocytes	NA
MSC	Homo sapiens (human)	Osteoarthritis	Chondrocytes	NA
TCF21	Homo sapiens (human)	lung cancer	curcumin-treated H1299 cells	RT-PCR,Western blot
TCF21	Mice	lung cancer	curcumin-treated H1299 cells	RT-PCR,Western blot
DNMT1	Homo sapiens (human)	lung cancer	curcumin-treated H1299 cells	RT-PCR,Western blot
DNMT1	Mice	lung cancer	curcumin-treated H1299 cells	RT-PCR,Western blot
H19	Homo sapiens (human)	Lymphoma	NA	NA
HMGB1	Homo sapiens (human)	pancreatic cancer	Panc-1 and SUIT-2	NA
INS-1	Rats	Type 2 Diabetes	NA	Flow Cytometry
maspin	Homo sapiens (human)	prostate cancer	BEAS-2B	qRT-PCR,Chemotaxis assay,etc.
maspin	Mice	prostate cancer	BEAS-2B	qRT-PCR,Chemotaxis assay,etc.
EXOSC3	Homo sapiens (human)	neurological diseases	Eukaryotic Cells	RT-PCR
MSC	Mice	Acute Kidney Injury	Bone marrow MSCs	Cell proliferation
CD63	Homo sapiens (human)	breast cancer	Bone marrow MSCs	Cell proliferation
CLU	Homo sapiens (human)	breast cancer	Bone marrow MSCs	Cell proliferation
HSC	Homo sapiens (human)	Liver Fibrosis	Immortalized human hepatocytes (IHH) and LX2 cells	RNA isolation,qRT-PCR,Western blot,etc.
SOCS3	Homo sapiens (human)	Liver Fibrosis	Immortalized human hepatocytes (IHH) and LX2 cells	RNA isolation,qRT-PCR,Western blot,etc.
GPX1	Homo sapiens (human)	Liver Failure	hucMSC-Ex Rescued CCl4	RT-PCR 
GPX1	Mice	Liver Failure	hucMSC-Ex Rescued CCl4	RT-PCR 
KRAS	Homo sapiens (human)	pancreatic cancer	Pancreatic cell	RT-PCR 
ECM1	Homo sapiens (human)	breast cancer	human mammary epithelial cell line HMLE	Western blot,FACS analysis,etc.
APOC4	Homo sapiens (human)	breast cancer	human mammary epithelial cell line HMLE	Western blot,FACS analysis,etc.
AZGP1	Homo sapiens (human)	breast cancer	human mammary epithelial cell line HMLE	Western blot,FACS analysis,etc.
MAX	Homo sapiens (human)	breast cancer	human mammary epithelial cell line HMLE	Western blot,FACS analysis,etc.
GEM	Homo sapiens (human)	pancreatic cancer	PDAC cell lines (Panc1, MiaPaCa2, and PSN1 cell lines)	qRT-PCR,MiRNA microarray
